subject,pattern,pat_prblty,cue1,cue2,cue3,cue4,start_time,RT,trial_outcome,response,accuracy
6200,1,0.895,1,2,3,0,837157.1311931,837462.9446503,1,1,1
6200,7,0.895,1,0,0,0,837157.1311931,837464.7114817,1,1,1
6200,4,0.222,1,0,3,4,837157.1311931,837466.5435512,1,0,0
6200,3,0.923,1,2,0,0,837157.1311931,837468.6282652,1,1,1
6200,7,0.895,1,0,0,0,837157.1311931,837470.41133,1,1,1
6200,4,0.222,1,0,3,4,837157.1311931,837472.6280262,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837475.2601528,0,1,0
6200,6,0.5,1,0,0,4,837157.1311931,837477.2449403,0,1,0
6200,11,0.556,0,2,0,0,837157.1311931,837479.2437548,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837481.3448854,0,0,1
6200,11,0.556,0,2,0,0,837157.1311931,837483.6114292,1,1,1
6200,7,0.895,1,0,0,0,837157.1311931,837485.4271321,1,0,0
6200,1,0.895,1,2,3,0,837157.1311931,837487.8946324,1,1,1
6200,8,0.105,0,2,3,4,837157.1311931,837490.0769131,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837491.9936162,0,1,0
6200,3,0.923,1,2,0,0,837157.1311931,837493.2438365,1,0,0
6200,2,0.778,1,2,0,4,837157.1311931,837494.9936045,1,0,0
6200,5,0.833,1,0,3,0,837157.1311931,837497.2270492,1,0,0
6200,11,0.556,0,2,0,0,837157.1311931,837499.0951597,1,1,1
6200,14,0.105,0,0,0,4,837157.1311931,837501.144815,0,1,0
6200,7,0.895,1,0,0,0,837157.1311931,837502.8116107,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837504.5450316,1,0,0
6200,14,0.105,0,0,0,4,837157.1311931,837507.1272732,0,0,1
6200,10,0.167,0,2,0,4,837157.1311931,837510.5448783,0,0,1
6200,6,0.5,1,0,0,4,837157.1311931,837512.6116645,1,0,0
6200,8,0.105,0,2,3,4,837157.1311931,837514.5601832,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837516.6613929,1,0,0
6200,9,0.5,0,2,3,0,837157.1311931,837518.4949528,0,1,0
6200,3,0.923,1,2,0,0,837157.1311931,837520.2116371,1,0,0
6200,5,0.833,1,0,3,0,837157.1311931,837522.0615465,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837523.693637,0,0,1
6200,10,0.167,0,2,0,4,837157.1311931,837525.5780777,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837527.7616845,1,0,0
6200,10,0.167,0,2,0,4,837157.1311931,837529.7951697,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837531.993699,1,0,0
6200,2,0.778,1,2,0,4,837157.1311931,837533.8770193,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837535.9950544,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837537.7616348,0,1,0
6200,8,0.105,0,2,3,4,837157.1311931,837539.3449406,0,1,0
6200,3,0.923,1,2,0,0,837157.1311931,837540.8436642,1,1,1
6200,5,0.833,1,0,3,0,837157.1311931,837542.9281652,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837545.1617352,0,1,0
6200,1,0.895,1,2,3,0,837157.1311931,837546.8615499,1,0,0
6200,11,0.556,0,2,0,0,837157.1311931,837548.9937515,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837551.1602128,0,1,0
6200,4,0.222,1,0,3,4,837157.1311931,837553.3102406,0,1,0
6200,10,0.167,0,2,0,4,837157.1311931,837556.2283377,0,1,0
6200,12,0.077,0,0,3,4,837157.1311931,837558.9283311,0,0,1
6200,4,0.222,1,0,3,4,837157.1311931,837563.1935545,1,0,0
6200,8,0.105,0,2,3,4,837157.1311931,837567.0602308,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837570.0452845,1,1,1
6200,11,0.556,0,2,0,0,837157.1311931,837572.5270086,0,1,0
6200,12,0.077,0,0,3,4,837157.1311931,837574.8949165,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837577.4103299,1,1,1
6200,14,0.105,0,0,0,4,837157.1311931,837580.0785605,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837582.177146,1,1,1
6200,13,0.444,0,0,3,0,837157.1311931,837584.42821,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837587.4282005,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837589.3115377,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837591.8283855,1,1,1
6200,1,0.895,1,2,3,0,837157.1311931,837594.6104145,1,0,0
6200,13,0.444,0,0,3,0,837157.1311931,837597.0115702,1,0,0
6200,2,0.778,1,2,0,4,837157.1311931,837599.5604746,1,0,0
6200,1,0.895,1,2,3,0,837157.1311931,837601.3281441,1,1,1
6200,12,0.077,0,0,3,4,837157.1311931,837603.5116086,0,0,1
6200,9,0.5,0,2,3,0,837157.1311931,837606.0439014,0,1,0
6200,5,0.833,1,0,3,0,837157.1311931,837608.1281526,1,1,1
6200,7,0.895,1,0,0,0,837157.1311931,837610.4114916,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837614.6935664,1,0,0
6200,9,0.5,0,2,3,0,837157.1311931,837617.6937272,0,0,1
6200,8,0.105,0,2,3,4,837157.1311931,837621.0771616,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837623.8281957,1,0,0
6200,3,0.923,1,2,0,0,837157.1311931,837626.3436404,1,0,0
6200,7,0.895,1,0,0,0,837157.1311931,837628.2614962,1,1,1
6200,5,0.833,1,0,3,0,837157.1311931,837630.611463,0,1,0
6200,12,0.077,0,0,3,4,837157.1311931,837632.8948311,0,0,1
6200,5,0.833,1,0,3,0,837157.1311931,837635.9604782,1,0,0
6200,10,0.167,0,2,0,4,837157.1311931,837638.327077,0,0,1
6200,4,0.222,1,0,3,4,837157.1311931,837640.4785331,0,1,0
6201,3,0.923,1,2,0,0,830907.715917,830909.4218247,1,1,1
6201,8,0.105,0,2,3,4,830907.715917,830912.4872644,0,1,0
6201,7,0.895,1,0,0,0,830907.715917,830915.0051352,1,0,0
6201,8,0.105,0,2,3,4,830907.715917,830918.6042131,0,0,1
6201,12,0.077,0,0,3,4,830907.715917,830921.5207736,0,1,0
6201,9,0.5,0,2,3,0,830907.715917,830925.8373291,1,1,1
6201,8,0.105,0,2,3,4,830907.715917,830929.4540313,0,1,0
6201,12,0.077,0,0,3,4,830907.715917,830933.4041112,1,0,0
6201,3,0.923,1,2,0,0,830907.715917,830936.1218232,1,0,0
6201,1,0.895,1,2,3,0,830907.715917,830940.3374284,1,1,1
6201,8,0.105,0,2,3,4,830907.715917,830945.1720678,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,830947.9542374,1,1,1
6201,13,0.444,0,0,3,0,830907.715917,830950.0875797,1,0,0
6201,5,0.833,1,0,3,0,830907.715917,830955.6886075,1,0,0
6201,7,0.895,1,0,0,0,830907.715917,830957.5887209,0,1,0
6201,6,0.5,1,0,0,4,830907.715917,830962.2060082,1,0,0
6201,4,0.222,1,0,3,4,830907.715917,830967.1373981,0,0,1
6201,8,0.105,0,2,3,4,830907.715917,830971.0541525,0,1,0
6201,1,0.895,1,2,3,0,830907.715917,830973.4874974,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,830977.3549396,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,830980.7053958,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,830984.2713647,0,0,1
6201,2,0.778,1,2,0,4,830907.715917,830986.8720557,0,1,0
6201,10,0.167,0,2,0,4,830907.715917,830990.4720311,0,1,0
6201,1,0.895,1,2,3,0,830907.715917,830995.0225024,1,1,1
6201,6,0.5,1,0,0,4,830907.715917,831002.637346,0,0,1
6201,14,0.105,0,0,0,4,830907.715917,831008.8222962,0,1,0
6201,11,0.556,0,2,0,0,830907.715917,831010.8708125,0,1,0
6201,7,0.895,1,0,0,0,830907.715917,831014.08874,1,0,0
6201,4,0.222,1,0,3,4,830907.715917,831017.0541633,0,0,1
6201,12,0.077,0,0,3,4,830907.715917,831020.7044619,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831025.3709407,1,0,0
6201,12,0.077,0,0,3,4,830907.715917,831029.1221813,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831031.6053995,1,1,1
6201,2,0.778,1,2,0,4,830907.715917,831038.0052961,1,0,0
6201,14,0.105,0,0,0,4,830907.715917,831040.7055638,0,0,1
6201,8,0.105,0,2,3,4,830907.715917,831045.5874871,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831049.2042377,0,1,0
6201,8,0.105,0,2,3,4,830907.715917,831057.1375547,1,0,0
6201,14,0.105,0,0,0,4,830907.715917,831059.5045595,0,0,1
6201,5,0.833,1,0,3,0,830907.715917,831062.6720568,1,0,0
6201,9,0.5,0,2,3,0,830907.715917,831066.2044193,1,0,0
6201,2,0.778,1,2,0,4,830907.715917,831068.7220408,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831073.2542134,0,0,1
6201,6,0.5,1,0,0,4,830907.715917,831078.0886358,0,0,1
6201,2,0.778,1,2,0,4,830907.715917,831083.2541988,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831086.6055923,0,0,1
6201,13,0.444,0,0,3,0,830907.715917,831089.1553792,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831094.2876491,0,1,0
6201,10,0.167,0,2,0,4,830907.715917,831099.5543171,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831103.1209307,1,0,0
6201,10,0.167,0,2,0,4,830907.715917,831105.4555022,0,0,1
6201,7,0.895,1,0,0,0,830907.715917,831108.122037,1,0,0
6201,2,0.778,1,2,0,4,830907.715917,831110.7543052,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831113.6556366,0,0,1
6201,8,0.105,0,2,3,4,830907.715917,831116.4887683,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831120.8211087,0,0,1
6201,12,0.077,0,0,3,4,830907.715917,831124.0389933,0,0,1
6201,7,0.895,1,0,0,0,830907.715917,831127.1875975,1,1,1
6201,10,0.167,0,2,0,4,830907.715917,831136.1876492,1,1,1
6201,7,0.895,1,0,0,0,830907.715917,831138.4544175,1,1,1
6201,14,0.105,0,0,0,4,830907.715917,831140.9553766,0,0,1
6201,11,0.556,0,2,0,0,830907.715917,831144.504648,0,1,0
6201,13,0.444,0,0,3,0,830907.715917,831147.3555228,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831151.9221611,1,0,0
6201,4,0.222,1,0,3,4,830907.715917,831155.505512,0,0,1
6201,5,0.833,1,0,3,0,830907.715917,831158.2542845,1,0,0
6201,12,0.077,0,0,3,4,830907.715917,831160.5209427,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831165.2889915,1,0,0
6201,1,0.895,1,2,3,0,830907.715917,831169.0542446,1,1,1
6201,10,0.167,0,2,0,4,830907.715917,831172.4375491,0,0,1
6201,7,0.895,1,0,0,0,830907.715917,831174.8709934,0,1,0
6201,12,0.077,0,0,3,4,830907.715917,831178.6375825,1,0,0
6201,8,0.105,0,2,3,4,830907.715917,831182.6377397,0,1,0
6201,12,0.077,0,0,3,4,830907.715917,831186.9888346,0,1,0
6201,2,0.778,1,2,0,4,830907.715917,831190.9876251,1,0,0
6201,5,0.833,1,0,3,0,830907.715917,831195.4888617,1,0,0
6201,1,0.895,1,2,3,0,830907.715917,831202.5044684,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831205.3876256,0,1,0
6201,1,0.895,1,2,3,0,830907.715917,831211.1208895,1,0,0
6201,14,0.105,0,0,0,4,830907.715917,831213.9878766,0,1,0
6201,12,0.077,0,0,3,4,830907.715917,831216.4556651,0,0,1
6201,5,0.833,1,0,3,0,830907.715917,831220.3556895,1,0,0
6201,11,0.556,0,2,0,0,830907.715917,831223.4223488,1,0,0
6201,6,0.5,1,0,0,4,830907.715917,831231.5222057,1,1,1
6201,5,0.833,1,0,3,0,830907.715917,831234.2542974,1,1,1
6201,10,0.167,0,2,0,4,830907.715917,831238.8210451,0,0,1
6201,12,0.077,0,0,3,4,830907.715917,831242.8044268,0,0,1
6201,8,0.105,0,2,3,4,830907.715917,831246.2724799,0,1,0
6201,13,0.444,0,0,3,0,830907.715917,831249.1715805,0,1,0
6201,8,0.105,0,2,3,4,830907.715917,831254.3212493,1,1,1
6201,10,0.167,0,2,0,4,830907.715917,831258.9210041,0,0,1
6201,11,0.556,0,2,0,0,830907.715917,831262.4555811,1,0,0
6201,8,0.105,0,2,3,4,830907.715917,831265.8376999,0,1,0
6201,3,0.923,1,2,0,0,830907.715917,831270.1711955,1,0,0
6201,9,0.5,0,2,3,0,830907.715917,831272.9721435,1,1,1
6201,7,0.895,1,0,0,0,830907.715917,831276.2226902,1,0,0
6201,12,0.077,0,0,3,4,830907.715917,831279.0567649,0,1,0
6201,13,0.444,0,0,3,0,830907.715917,831281.1225946,1,1,1
6201,14,0.105,0,0,0,4,830907.715917,831283.3709961,0,1,0
6201,12,0.077,0,0,3,4,830907.715917,831286.0376678,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831288.1557594,0,1,0
6201,7,0.895,1,0,0,0,830907.715917,831290.3376591,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831293.9377872,1,1,1
6201,7,0.895,1,0,0,0,830907.715917,831296.5057465,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831299.4056446,1,1,1
6201,4,0.222,1,0,3,4,830907.715917,831305.3711704,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831310.9379332,1,1,1
6201,8,0.105,0,2,3,4,830907.715917,831313.487667,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831319.0877077,1,0,0
6201,3,0.923,1,2,0,0,830907.715917,831322.1224721,1,1,1
6201,13,0.444,0,0,3,0,830907.715917,831325.7877404,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831327.7056055,0,1,0
6201,7,0.895,1,0,0,0,830907.715917,831331.9383778,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831334.3880092,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831338.1045812,0,0,1
6201,8,0.105,0,2,3,4,830907.715917,831341.4045776,0,0,1
6201,13,0.444,0,0,3,0,830907.715917,831344.2224545,1,0,0
6201,14,0.105,0,0,0,4,830907.715917,831347.0388873,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831351.4214785,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831355.0392098,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831357.5212169,1,0,0
6201,7,0.895,1,0,0,0,830907.715917,831360.7890596,1,1,1
6201,4,0.222,1,0,3,4,830907.715917,831363.5891278,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831366.6558529,1,1,1
6201,7,0.895,1,0,0,0,830907.715917,831369.0389604,1,1,1
6201,4,0.222,1,0,3,4,830907.715917,831371.5710768,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831374.6379302,0,1,0
6201,6,0.5,1,0,0,4,830907.715917,831377.4723319,0,1,0
6201,11,0.556,0,2,0,0,830907.715917,831379.8890938,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831383.071172,0,0,1
6201,11,0.556,0,2,0,0,830907.715917,831385.538993,1,0,0
6201,7,0.895,1,0,0,0,830907.715917,831387.5224611,1,1,1
6201,1,0.895,1,2,3,0,830907.715917,831391.704553,1,0,0
6201,8,0.105,0,2,3,4,830907.715917,831395.6229084,0,0,1
6201,12,0.077,0,0,3,4,830907.715917,831398.9045265,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831402.087911,1,1,1
6201,2,0.778,1,2,0,4,830907.715917,831408.3546769,1,1,1
6201,5,0.833,1,0,3,0,830907.715917,831416.4546833,1,1,1
6201,11,0.556,0,2,0,0,830907.715917,831418.6228724,1,1,1
6201,14,0.105,0,0,0,4,830907.715917,831422.4557601,0,0,1
6201,7,0.895,1,0,0,0,830907.715917,831424.4217135,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831426.8046458,1,1,1
6201,14,0.105,0,0,0,4,830907.715917,831429.8879615,0,0,1
6201,10,0.167,0,2,0,4,830907.715917,831434.188685,0,1,0
6201,6,0.5,1,0,0,4,830907.715917,831437.1392284,1,1,1
6201,8,0.105,0,2,3,4,830907.715917,831441.8712397,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831444.4556516,1,1,1
6201,9,0.5,0,2,3,0,830907.715917,831447.4046579,0,1,0
6201,3,0.923,1,2,0,0,830907.715917,831449.6711809,1,1,1
6201,5,0.833,1,0,3,0,830907.715917,831452.6046736,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831455.0890993,0,0,1
6201,10,0.167,0,2,0,4,830907.715917,831457.8560056,0,0,1
6201,14,0.105,0,0,0,4,830907.715917,831459.8558509,1,1,1
6201,10,0.167,0,2,0,4,830907.715917,831463.5726033,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831466.2047419,1,1,1
6201,2,0.778,1,2,0,4,830907.715917,831468.9547202,1,1,1
6201,3,0.923,1,2,0,0,830907.715917,831471.2880656,1,1,1
6201,12,0.077,0,0,3,4,830907.715917,831473.8058255,0,0,1
6201,8,0.105,0,2,3,4,830907.715917,831476.9726093,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831479.1044933,1,1,1
6201,5,0.833,1,0,3,0,830907.715917,831487.7379499,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831490.906002,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831493.6212852,1,1,1
6201,11,0.556,0,2,0,0,830907.715917,831496.0057591,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831498.3378835,0,1,0
6201,4,0.222,1,0,3,4,830907.715917,831502.0055486,0,0,1
6201,10,0.167,0,2,0,4,830907.715917,831504.8047626,0,0,1
6201,12,0.077,0,0,3,4,830907.715917,831507.1378693,0,0,1
6201,4,0.222,1,0,3,4,830907.715917,831510.5216521,1,0,0
6201,8,0.105,0,2,3,4,830907.715917,831514.7215678,0,0,1
6201,3,0.923,1,2,0,0,830907.715917,831516.888061,1,1,1
6201,11,0.556,0,2,0,0,830907.715917,831518.8726796,0,1,0
6201,12,0.077,0,0,3,4,830907.715917,831521.2228142,0,0,1
6201,1,0.895,1,2,3,0,830907.715917,831524.3226929,1,0,0
6201,14,0.105,0,0,0,4,830907.715917,831527.4228933,0,1,0
6201,7,0.895,1,0,0,0,830907.715917,831529.7560232,1,1,1
6201,13,0.444,0,0,3,0,830907.715917,831531.887887,0,1,0
6201,14,0.105,0,0,0,4,830907.715917,831534.6725292,0,1,0
6201,7,0.895,1,0,0,0,830907.715917,831536.7059932,1,1,1
